level_0	objid	redshift	redshift_error	ra_obj	dec_obj	snr_Ha	emline_flag	Par	index	cosmosra	cosmosdec	cosmosid	cosmosz	cosmoshst	cosmoszmed	cosmoszlow	cosmoszup	cosmos2020ra	cosmos2020dec	cosmos2020id	cosmos2020z	cosmos2020hst	cosmos2020zlow	cosmos2020zup
70	38.0	0.75611	0.0	150.663636	2.060239	9.2619926199262	4.0	Par005	47	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.66363385647847	2.06022638302455	668627.0		24.397159576416016	1.9204	2.1175
71	61.0	0.83834	0.00055	150.660835	2.062183	11.833333333333336	4.0	Par005	48	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.66082869455343	2.062185604021363	669553.0	0.7782	24.45697021484375	0.7423	0.8135
74	126.0	0.79801	0.0	150.657307	2.064484	14.565826330532213	4.0	Par005	51	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.65730371541406	2.0644927485115305	672268.0	0.8131	23.724409103393555	0.7742	0.8437
76	199.0	1.13512	0.00131	150.65504	2.066336	7.126984126984127	2.0	Par005	53	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.6550135002916	2.0663267771199294	673500.0	1.8623	25.650964736938477	1.7337	1.9831
77	223.0	1.11811	0.00126	150.651223	2.066586	4.98901098901099	2.0	Par005	54	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.6512009419242	2.0666082007275284	674794.0	1.0706	24.407506942749023	1.038	1.0954
78	259.0	1.10606	0.00023	150.659236	2.067418	20.98765432098765	1.0	Par005	55	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.65922530176508	2.0674125227256295	674431.0	1.1373	25.71278953552246	1.0796	1.2457
79	265.0	1.15882	0.0	150.655325	2.067364	11.145374449339208	4.0	Par005	56	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.6553191226385	2.067364036805117	674852.0	1.1451	24.553871154785156	1.1103	1.1935
83	297.0	0.73304	0.00082	150.66221	2.067862	8.728971962616821	4.0	Par005	60	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.66221868503396	2.06785471151859	674947.0	0.4197	25.13936424255371	0.3907	0.6654
86	328.0	0.73738	0.00044	150.660027	2.06849	13.301886792452832	2.0	Par005	62	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.66002777643243	2.0684881331037457	675465.0	0.3816	26.235143661499023	0.3249	1.039
89	380.0	0.69507	0.0	150.658162	2.069128	5.692771084337349	4.0	Par005	63	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.6581570307799	2.069141813117575	676294.0	1.1248	25.524694442749023	1.0603	1.2189
90	389.0	1.31862	0.0	150.641982	2.069192	6.815642458100558	1.0	Par005	64	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.6419632309465	2.069169055177057	676852.0	1.1151	24.798168182373047	1.0828	1.148
93	418.0	0.74552	0.00047	150.656151	2.069504	10.632911392405065	4.0	Par005	67	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.65614351437188	2.0695190185582213	677187.0	0.7808	24.877519607543945	0.7566	0.8145
94	423.0	1.37893	0.00032	150.654897	2.069662	14.347826086956522	1.0	Par005	68	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.6548865078221	2.0696671812840024	676704.0	0.3932	25.983078002929688	0.3075	0.8223
95	437.0	0.79801	0.0	150.664946	2.069808	7.761467889908257	4.0	Par005	69	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.6649492326737	2.069810593784056	676814.0	1.5283	26.753488540649414	1.1142	2.1738
96	455.0	1.42071	0.0	150.649456	2.070005	4.1	4.0	Par005	70	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.64945008230342	2.0699891906530876	677085.0	1.2863	26.400487899780273	1.0849	1.4802
97	471.0	1.24023	0.00283	150.646406	2.070269	3.1705426356589146	4.0	Par005	71	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.64639951536824	2.070273811883354	678636.0	1.1586	23.915740966796875	1.094	1.2309
98	513.0	0.82664	0.00166	150.6487	2.070896	6.587155963302752	4.0	Par005	72	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.64870107241995	2.070894273783299	678044.0	1.3086	26.374340057373047	1.1655	1.4647
100	563.0	1.18825	0.00155	150.655444	2.07157	7.105263157894736	4.0	Par005	73	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	-1.0	150.65544123576197	2.0715797201047867	679012.0	2.9005	25.017688751220703	0.0622	2.974
