level_0	objid	redshift	redshift_error	ra_obj	dec_obj	snr_Ha	emline_flag	Par	index	zbest	emline_flag_best	cosmosra	cosmosdec	cosmosid	cosmosz	cosmoshst	cosmoszmed	cosmoszlow	cosmoszup
0	42.0	2.96365	0.0	150.410708	2.384564	-1.0	4.0	Par003	0	2.96365	4.0	150.41071455064107	2.3845642137315166	511464.0	0.1172	25.2118604110967	0.1172	0.0454	0.1836
1	43.0	2.97334	0.0	150.410795	2.384626	-1.0	4.0	Par003	1	2.97334	4.0	150.41079688419947	2.3846210193724797	511465.0	2.109	25.216493943106638	2.109	2.0293	2.2053
2	146.0	3.36305	0.00117	150.415518	2.387914	-1.0	3.0	Par003	2	3.36305	3.0	150.4155146856605	2.387914713214665	512161.0	0.6671	27.74317154151653	0.6671	0.455	0.76
3	151.0	2.16666	0.0	150.406757	2.387887	6.531914893617021	4.0	Par003	3	2.16666	4.0	150.40675599612504	2.3878840747564354	511697.0	2.9169	25.966786231516732	2.9169	2.761	3.0821
4	236.0	1.90717	0.00105	150.422767	2.389853	9.038095238095238	4.0	Par003	4	1.90717	4.0	150.42277577765117	2.3898483945075797	512848.0	3.1868	25.964520444362567	3.1868	3.0388	3.4203
7	541.0	1.79045	0.00146	150.410698	2.394876	6.643356643356643	4.0	Par003	5	1.79045	1.5	150.41069710096912	2.3948748689482913	512983.0	1.7071	24.33980667632766	1.7071	1.6834	1.7604
9	592.0	2.69279	0.00173	150.420794	2.395658	-1.0	3.0	Par003	6	2.69279	3.0	150.42079565747028	2.3956575365268993	513703.0	1.7058	24.715259313645777	1.7058	1.4869	1.8429
10	607.0	1.8007	0.00109	150.403083	2.39584	6.326530612244898	4.0	Par003	7	1.8007	4.0	150.40308011139612	2.395828173015919	512676.0	2.0411	24.88702264567468	2.0411	1.959	2.0849
11	672.0	1.82481	0.00262	150.413658	2.396594	2.684647302904564	4.0	Par003	8	1.82481	1.5	150.4136558332098	2.396585952975364	513444.0	1.7711	24.531659637546348	1.7711	1.7288	1.818
12	692.0	1.96422	0.00104	150.407061	2.396807	11.25748502994012	4.0	Par003	9	1.96422	1.5	150.40706358544475	2.3968045987702973	513090.0	1.8238	24.63118939476002	1.8238	1.7543	1.8916
14	703.0	1.81435	0.00079	150.411208	2.396906	7.947019867549668	4.0	Par003	10	1.81435	1.5	150.41120861911412	2.39690301249371	513343.0	1.8011	25.356295601554464	1.8011	1.7537	1.8395
16	780.0	1.8652	0.00114	150.406168	2.397626	6.783919597989951	4.0	Par003	11	1.8652	1.5	150.40617352203245	2.3976254221721813	513163.0	1.9346	25.849358952983486	1.9346	1.8686	1.9727
18	813.0	1.81371	0.0	150.405319	2.398059	4.621848739495798	4.0	Par003	12	1.81371	1.5	150.4053256477645	2.398051589864849	513183.0	1.7439	25.302662538116167	1.7439	1.6843	1.8367
21	833.0	1.83927	0.00087	150.41741	2.398206	8.431372549019608	4.0	Par003	13	1.83927	1.5	150.41741377445877	2.398202749585589	513910.0	2.0032	27.601113674136577	2.0032	1.0866	2.5781
22	858.0	2.2008	0.0	150.403658	2.398672	26.051660516605168	4.0	Par003	14	2.2008	1.5	150.40365979684694	2.398670770689798	513192.0	2.3015	24.571660681578248	2.3015	2.2903	2.31
23	873.0	2.67677	0.002	150.406701	2.398843	-1.0	3.0	Par003	15	2.67677	3.0	150.4067058874791	2.3988421433558993	513380.0	0.0461	27.931863088991765	0.0461	0.0306	1.2746
24	875.0	2.31322	0.0008	150.397948	2.398818	9.097744360902256	4.0	Par003	16	2.31322	1.5	150.39794905412583	2.398811503541829	512841.0	2.3118	25.930131541654443	2.3118	2.2741	2.3268
25	905.0	1.81371	0.0	150.40634	2.398961	5.174311926605505	4.0	Par003	17	1.81371	1.5	150.40634333180336	2.3989580822100165	513398.0	1.7408	24.402135308944125	1.7408	1.6893	1.7942
27	937.0	2.67822	0.00141	150.424237	2.399465	-1.0	3.0	Par003	18	2.67822	3.0	150.42423936458255	2.3994640434647145	514407.0	1.9677	26.322171112109075	1.9677	1.9191	2.0514
28	949.0	2.65334	0.0	150.391801	2.399625	-1.0	3.0	Par003	19	2.65334	3.0	150.39180759809372	2.399624885697739	512623.0	1.4365	26.577686945907097	1.4365	0.2123	2.4333
29	995.0	1.80101	0.0	150.400118	2.400054	8.474576271186441	4.0	Par003	20	2.671457089935785	1.5	150.4001225621774	2.400050530645123	513212.0	2.732	26.014949094675973	2.732	0.4968	2.8173
34	1113.0	2.75989	0.00097	150.401749	2.401324	-1.0	3.0	Par003	21	2.75989	3.0	150.40175077667465	2.4013237970598995	513489.0	1.9167	25.426056993706624	1.9167	1.8555	1.977
35	1122.0	2.67888	0.0	150.388465	2.401346	-1.0	3.0	Par003	22	2.67888	3.0	150.38846760591937	2.4013560991050653	512700.0	2.2572	26.909318971779406	2.2572	0.3051	2.5936
40	1276.0	3.19373	0.0	150.41938	2.402978	-1.0	3.0	Par003	23	3.19373	3.0	150.41938325600142	2.4029746828320664	514637.0	2.0688	25.299865129145964	2.0688	2.0314	2.1363
42	1327.0	2.24452	0.0	150.417398	2.403495	8.270440251572326	4.0	Par003	24	2.24452	4.0	150.41740433907626	2.4034993095161696	514615.0	1.5495	25.954278653351224	1.5495	1.481	1.7273
44	1358.0	2.67917	0.0	150.399126	2.403869	-1.0	1.0	Par003	25	2.67917	1.0	150.39913339553394	2.403862424783291	513745.0	1.9715	26.420286477728773	1.9715	1.9277	1.9888
46	1706.0	2.1177	0.0016	150.431218	2.407223	11.666666666666668	4.0	Par003	27	2.1177	4.0	150.43121118016106	2.4072309501305615	515799.0	4.2269	27.288116996307245	4.2269	4.0651	4.6763
48	1725.0	2.03172	0.0	150.431316	2.407443	8.482632541133455	4.0	Par003	29	2.03172	4.0	150.43132124018985	2.407441643727755	515842.0	1.3623	25.71206203906891	1.3623	1.05	1.4848
49	1773.0	1.73787	0.0	150.431651	2.408148	4.059574468085107	4.0	Par003	30	1.73787	4.0	150.4316535608804	2.4081515007292182	536803.0	-99.0	28.435468833425617	0.4732	0.1591	0.6506
